gta	gtb	ami	boot.num.higher	boot.frac.higher
6	26	0.014606290449593	18	0.018
6	27	0.00882627655401301	82	0.082
6	28	0.00273215458535251	310	0.31
7	8	0.0116760859622949	63	0.063
7	9	0.0600656302134469	0	0
7	10	0.00623561584348723	241	0.241
7	11	0.016240693482244	100	0.1
7	12	0.0269878897846814	2	0.002
7	13	0.00717252621790696	195	0.195
7	14	0.0248793067852493	19	0.019
7	15	0.0229532738385286	25	0.025
7	16	0.00466857442004523	313	0.313
7	17	0.0114915322187045	78	0.078
7	18	0.0109042409901661	285	0.285
7	19	0.00921893257738578	351	0.351
7	20	0.00661393081653564	202	0.202
7	21	0.0167992078722673	103	0.103
7	22	0.0081203973068092	418	0.418
7	23	0.0141715298619275	30	0.03
7	24	0.00108301926188964	774	0.774
7	25	0.0104410397733843	82	0.082
7	26	0.0191565888187633	9	0.009
7	27	0.0135193435655724	45	0.045
7	28	0.00829088344128968	140	0.14
8	9	0.00588381021555367	186	0.186
8	10	0.0017620031759785	356	0.356
8	11	0.00125649785252619	709	0.709
8	12	0.0167325985354199	25	0.025
8	13	2.39124997232032e-05	870	0.87
8	14	0.0339878484869622	0	0
8	15	0.0231412212871472	4	0.004
8	16	0.039845429422404	2	0.002
8	17	0.0472346744921146	0	0
8	18	0.013575132367874	43	0.043
8	19	0.0137530458339149	37	0.037
8	20	4.44085814911472e-05	890	0.89
8	21	0.0024560323555735	550	0.55
8	22	0.0029464394053834	477	0.477
8	23	0.00200602589356144	413	0.413
8	24	0.00686738660655705	166	0.166
8	25	0.00291041698747799	350	0.35
8	26	0.00218865690083955	389	0.389
8	27	0.000446016302296631	622	0.622
8	28	0.0045250460430167	251	0.251
9	10	0.000846508359000156	586	0.586
9	11	0.0138335163837908	31	0.031
9	12	0.0629040103346982	0	0
9	13	0.00967446625614063	87	0.087
9	14	0.00365061961206033	436	0.436
9	15	0.00610891113346138	292	0.292
9	16	0.00338208621120439	259	0.259
9	17	0.000145304069523892	791	0.791
9	18	0.00157321034315824	665	0.665
9	19	0.0022454968801756	591	0.591
9	20	0.000147434368657525	791	0.791
9	21	0.0133955936907097	50	0.05
9	22	0.00495874707627615	313	0.313
9	23	0.00580165254150574	176	0.176
9	24	0.0091599405938464	66	0.066
9	25	0.000549899631677688	617	0.617
9	26	0.000685751677937117	570	0.57
9	27	0.00221642102859374	354	0.354
9	28	0.00486397749750832	197	0.197
10	11	0.0781290169050953	0	0
10	12	3.15514670100007e-05	884	0.884
10	13	0.000756914394131692	585	0.585
10	14	0.0106666901984323	64	0.064
10	15	0.00753651305013605	189	0.189
10	16	0.000367845273021852	703	0.703
